,ios_file_size,ios_all_ratings,ios_current_ratings,android_total_ratings,android_avg_rating,android_file_size,android_rating_4,android_rating_5,android_rating_2,android_rating_3,android_rating_1
"2016,08,08,05,50,00",104,185978,45763,"3,537,992",4.0,60,"426,415","2,171,153","161,243","276,816","502,365"
"2016,10,27,05,30,00",259,228713,280,"6,898,850",4.0,android_file_size not found,"845,122","4,290,683","280,672","520,784","961,589"
"2016,08,13,09,50,00",106,199035,5036,"4,566,980",4.1,61,"570,939","2,844,211","195,883","356,524","599,423"
"2016,10,28,10,20,00",259,229333,985,"6,928,701",4.0,android_file_size not found,"848,871","4,308,441","281,864","523,134","966,391"
"2016,09,24,00,20,00",258,220799,ios_current_ratings not found,"6,320,585",4.1,76,"773,127","3,943,906","257,610","477,401","868,541"
"2016,07,29,13,00,00",110,120522,19896,"1,784,487",3.9,58,"238,482","1,028,231","93,573","163,291","260,910"
"2016,08,21,02,40,00",106,205650,12656,"5,065,242",4.1,61,"628,808","3,157,531","215,242","396,072","667,589"
"2016,10,28,02,30,00",259,229262,900,"6,923,471",4.0,android_file_size not found,"848,259","4,305,515","281,648","522,718","965,331"
"2016,08,14,09,30,00",106,200132,6330,"4,669,919",4.1,61,"583,000","2,909,261","199,956","365,002","612,700"
"2016,09,24,08,40,00",258,220870,144,"6,331,228",4.1,76,"774,514","3,950,835","257,956","478,156","869,767"
"2016,08,19,06,40,00",106,204331,11147,"4,977,425",4.1,61,"618,902","3,100,904","211,993","389,735","655,891"
"2016,10,14,15,30,00",251,224794,ios_current_ratings not found,"6,704,651",4.0,77,"818,990","4,174,188","272,912","505,784","932,777"
"2016,10,19,00,10,00",251,226557,2313,"6,774,399",4.0,77,"827,858","4,214,813","275,796","511,026","944,906"
"2016,08,26,17,50,00",211,208290,843,"5,348,087",4.1,61,"665,309","3,340,895","224,476","415,786","701,621"
"2016,09,09,23,50,00",211,215297,9093,"5,770,328",4.1,61,"714,033","3,619,297","239,883","446,471","750,644"
"2016,09,22,09,30,00",258,220467,2427,"6,283,194",4.1,77,"769,072","3,921,345","256,141","474,808","861,828"
"2016,09,29,15,20,00",258,222264,1806,"6,484,937",4.1,76,"794,962","4,045,566","263,498","489,177","891,734"
"2016,09,19,11,20,00",258,219770,1622,"6,224,606",4.1,77,"762,917","3,887,659","253,483","470,616","849,931"
"2016,07,23,11,20,00",110,112152,10792,"1,449,823",3.9,58,"190,556","823,480","79,445","133,916","222,426"
"2016,09,23,10,40,00",258,220644,2641,"6,302,917",4.1,android_file_size not found,"771,092","3,932,655","257,046","476,320","865,804"
"2016,09,22,04,30,00",258,220425,2380,"6,281,116",4.1,77,"768,831","3,920,187","256,059","474,638","861,401"
"2016,10,03,02,10,00",258,222986,2635,"6,544,826",4.1,76,"800,815","4,081,321","266,063","493,520","903,107"
"2016,09,17,08,30,00",258,218737,451,"6,136,460",4.1,77,"753,528","3,835,471","249,912","464,990","832,559"
"2016,09,06,02,20,00",211,214098,7701,"5,680,988",4.1,61,"703,394","3,559,261","236,764","440,157","741,412"
"2016,10,03,14,30,00",258,223015,2667,"6,550,257",4.1,76,"801,414","4,084,492","266,344","493,914","904,093"
"2016,08,24,11,10,00",106,208040,545,"5,240,763",4.1,61,"651,860","3,271,449","220,616","408,113","688,725"
"2016,08,16,09,20,00",106,202113,8606,"4,821,317",4.1,61,"600,833","3,003,603","206,119","377,325","633,437"
"2016,10,28,21,40,00",259,229501,1178,"6,943,242",4.0,android_file_size not found,"850,295","4,316,981","282,451","524,135","969,380"
"2016,10,10,07,30,00",258,223940,3810,"6,631,726",4.1,76,"809,769","4,132,120","269,835","500,181","919,821"
"2016,08,16,10,50,00",106,202113,8606,"4,821,317",4.1,61,"600,833","3,003,603","206,119","377,325","633,437"
"2016,08,28,04,00,00",211,210334,3303,"5,414,198",4.1,61,"672,604","3,384,410","226,833","420,532","709,819"
"2016,09,28,22,00,00",258,222143,1662,"6,475,924",4.1,76,"793,979","4,040,459","263,048","488,437","890,001"
"2016,09,20,04,20,00",258,219968,1865,"6,240,865",4.1,77,"764,644","3,897,067","254,236","471,842","853,076"
"2016,08,10,12,10,00",106,193285,7358,"4,184,279",4.1,61,"522,257","2,600,548","180,976","324,733","555,765"
"2016,09,27,13,10,00",258,221846,1301,"6,449,817",4.1,76,"791,033","4,025,459","261,983","486,511","884,831"
"2016,10,22,11,40,00",251,227206,3133,"6,809,450",4.0,77,"831,750","4,234,941","277,416","513,797","951,546"
"2016,10,07,07,30,00",258,223479,3223,"6,588,895",4.1,76,"805,504","4,106,505","268,085","497,030","911,771"
"2016,07,31,15,10,00",104,133419,5752,"1,920,014",3.9,60,"257,568","1,106,784","98,851","172,190","284,621"
"2016,07,25,14,40,00",110,115324,14244,"1,607,139",3.9,58,"213,478","921,450","85,601","146,878","239,732"
"2016,09,09,23,40,00",211,215297,9093,"5,770,328",4.1,61,"714,033","3,619,297","239,883","446,471","750,644"
"2016,09,01,10,20,00",211,211855,5147,"5,542,201",4.1,61,"687,500","3,466,691","231,950","430,133","725,927"
"2016,08,20,09,10,00",106,205128,12074,"5,022,096",4.1,61,"623,853","3,129,461","213,642","393,046","662,094"
"2016,10,11,14,10,00",258,224196,4115,"6,644,600",4.0,android_file_size not found,"811,174","4,139,329","270,492","501,351","922,254"
"2016,09,04,04,00,00",211,213115,6582,"5,625,059",4.1,61,"697,004","3,521,712","234,783","436,180","735,380"
"2016,10,09,12,50,00",258,223872,3734,"6,621,950",4.1,76,"808,749","4,126,441","269,417","499,441","917,902"
"2016,08,31,10,10,00",211,211588,4827,"5,516,942",4.1,61,"684,588","3,450,484","230,972","428,152","722,746"
"2016,09,27,08,20,00",258,221846,1301,"6,444,716",4.1,76,"790,419","4,022,440","261,771","486,210","883,876"
"2016,08,22,08,10,00",106,206553,13668,"5,112,470",4.1,61,"634,469","3,187,524","216,964","399,646","673,867"
"2016,10,01,22,50,00",258,222699,2308,"6,525,555",4.1,76,"798,912","4,069,838","265,236","492,058","899,511"
"2016,08,10,17,50,00",106,193841,7999,"4,220,793",4.1,61,"527,497","2,624,080","182,235","327,628","559,353"
"2016,08,12,07,10,00",106,197756,3457,"4,437,688",4.1,61,"556,123","2,761,663","190,664","345,917","583,321"
"2016,08,22,12,30,00",106,206553,13668,"5,119,128",4.1,61,"635,265","3,191,685","217,240","400,133","674,805"
"2016,07,28,18,10,00",110,119589,18879,"1,761,010",3.9,58,"235,597","1,012,709","92,704","161,513","258,487"
"2016,10,24,14,20,00",259,227594,ios_current_ratings not found,"6,831,738",4.0,android_file_size not found,"834,083","4,248,123","278,408","515,455","955,669"
"2016,10,12,10,50,00",258,224252,4191,"6,658,855",4.0,android_file_size not found,"812,972","4,147,732","271,193","502,439","924,519"
"2016,10,07,20,40,00",258,223562,3354,"6,595,794",4.1,76,"806,229","4,110,549","268,363","497,526","913,127"
"2016,10,20,03,10,00",251,226790,2612,"6,786,168",4.0,77,"829,209","4,221,351","276,381","511,998","947,229"
"2016,09,28,15,00,00",258,222103,1582,"6,469,934",4.1,76,"793,373","4,037,014","262,784","487,952","888,811"
"2016,08,16,20,30,00",106,202623,9188,"4,855,651",4.1,61,"604,929","3,025,109","207,362","380,062","638,189"
"2016,08,18,20,00,00",106,204144,10932,"4,956,794",4.1,61,"616,514","3,088,028","211,223","388,096","652,933"
"2016,10,05,03,00,00",258,223210,2905,"6,565,464",4.1,76,"803,033","4,092,959","267,063","495,151","907,258"
"2016,10,14,23,20,00",251,224869,198,"6,709,984",4.0,77,"819,615","4,177,425","273,102","506,129","933,713"
"2016,10,12,09,40,00",258,224252,4191,"6,656,009",4.0,android_file_size not found,"812,647","4,146,113","271,049","502,205","923,995"
"2016,09,25,11,40,00",258,221285,662,"6,362,762",4.1,76,"778,142","3,971,460","259,077","480,265","873,818"
"2016,09,20,05,50,00",258,219968,1865,"6,240,865",4.1,77,"764,644","3,897,067","254,236","471,842","853,076"
"2016,09,28,08,30,00",258,222062,1552,"6,466,097",4.1,76,"792,946","4,034,793","262,632","487,696","888,030"
"2016,09,10,04,50,00",211,215297,9093,"5,773,971",4.1,61,"714,403","3,621,756","239,992","446,694","751,126"
"2016,09,14,18,50,00",260,217504,1078,"6,022,274",4.1,77,"742,056","3,773,266","245,671","458,429","802,852"
"2016,09,16,17,50,00",258,218339,ios_current_ratings not found,"6,101,541",4.1,77,"749,505","3,814,636","248,674","462,761","825,965"
"2016,10,15,05,40,00",251,224965,198,"6,711,611",4.0,77,"819,819","4,178,371","273,158","506,241","934,022"
"2016,10,05,02,00,00",258,223210,2905,"6,565,464",4.1,76,"803,033","4,092,959","267,063","495,151","907,258"
"2016,08,31,23,10,00",211,211720,4990,"5,531,347",4.1,61,"686,195","3,459,839","231,511","429,240","724,562"
"2016,08,03,19,10,00",104,168995,27223,"2,213,211",3.9,60,"282,244","1,273,142","113,359","188,432","356,034"
"2016,07,26,23,20,00",110,117431,16817,"1,678,661",3.9,58,"223,870","965,132","88,449","153,282","247,928"
"2016,10,02,20,00,00",258,222882,2511,"6,540,951",4.1,76,"800,460","4,079,064","265,887","493,209","902,331"
"2016,07,30,00,00,00",110,121189,20607,"1,804,362",3.9,android_file_size not found,"241,110","1,040,778","94,361","164,977","263,136"
"2016,09,11,04,10,00",211,215660,9531,"5,819,439",4.1,android_file_size not found,"719,628","3,652,997","240,927","449,098","756,789"
"2016,08,08,13,40,00",104,186395,46224,"3,602,302",4.0,60,"434,103","2,210,780","164,148","282,155","511,116"
"2016,10,13,09,30,00",251,224528,207,"6,677,996",4.0,77,"815,535","4,158,994","271,832","503,861","927,774"
"2016,08,07,10,00,00",104,183447,43032,"3,384,071",4.0,60,"407,826","2,074,881","154,750","264,744","481,870"
"2016,10,08,00,20,00",258,223610,3409,"6,598,203",4.1,76,"806,455","4,112,018","268,468","497,695","913,567"
"2016,07,31,10,30,00",104,124716,2889,"1,898,038",4.0,60,"255,639","1,099,030","97,566","171,163","274,640"
"2016,10,21,18,20,00",251,227070,2974,"6,802,038",4.0,77,"830,958","4,230,494","277,101","513,249","950,236"
"2016,08,08,21,10,00",106,187322,ios_current_ratings not found,"3,671,558",4.0,61,"443,348","2,255,778","166,654","287,236","518,542"
"2016,09,08,02,20,00",211,214821,8534,"5,728,865",4.1,61,"709,161","3,591,532","238,357","443,571","746,244"
"2016,08,12,02,10,00",106,197532,3172,"4,422,666",4.1,61,"554,123","2,752,549","189,978","344,657","581,359"
"2016,10,22,12,40,00",251,227206,3133,"6,809,450",4.0,77,"831,750","4,234,941","277,416","513,797","951,546"
"2016,08,20,15,30,00",106,205366,12335,"5,041,210",4.1,61,"625,970","3,141,907","214,334","394,410","664,589"
"2016,08,11,03,30,00",106,195879,1147,"4,286,499",4.1,61,"536,077","2,666,135","184,798","333,023","566,466"
"2016,07,25,23,00,00",110,116113,15087,"1,628,427",3.9,58,"216,592","934,783","86,373","148,675","242,004"
"2016,08,04,19,30,00",104,173344,32009,"2,715,631",4.0,60,"332,868","1,634,611","129,106","218,034","401,012"
"2016,10,07,08,00,00",258,223479,3256,"6,588,895",4.1,76,"805,504","4,106,505","268,085","497,030","911,771"
"2016,09,17,11,00,00",258,218843,451,"6,147,717",4.1,77,"754,845","3,842,283","250,378","465,761","834,450"
"2016,10,06,01,00,00",258,223336,3071,"6,574,839",4.1,76,"804,069","4,098,311","267,489","495,888","909,082"
"2016,08,15,22,10,00",106,201751,8205,"4,791,539",4.1,61,"597,355","2,985,589","204,808","374,848","628,939"
"2016,10,05,02,10,00",258,223210,2905,"6,565,464",4.1,76,"803,033","4,092,959","267,063","495,151","907,258"
"2016,08,21,12,30,00",106,205883,12919,"5,079,804",4.1,61,"630,493","3,166,586","215,801","397,231","669,693"
"2016,10,22,17,50,00",251,227298,3237,"6,812,114",4.0,77,"832,021","4,236,637","277,536","513,963","951,957"
"2016,07,29,00,50,00",110,120118,19458,"1,765,915",3.9,58,"236,278","1,015,803","92,876","161,958","259,000"
"2016,08,19,23,20,00",106,204822,11899,"5,009,373",4.1,61,"622,396","3,121,338","213,166","392,073","660,400"
"2016,08,01,00,00,00",104,143350,22193,"1,954,991",3.9,60,"259,919","1,117,313","101,244","173,651","302,864"
"2016,08,11,09,10,00",106,196077,1388,"4,331,303",4.1,61,"542,306","2,694,175","186,544","336,988","571,290"
"2016,08,22,04,50,00",106,206404,13496,"5,107,733",4.1,61,"633,908","3,184,610","216,777","399,240","673,198"
"2016,08,15,15,50,00",106,201533,7960,"4,766,784",4.1,61,"594,572","2,969,938","203,820","372,941","625,513"
"2016,07,27,11,50,00",110,118141,17296,"1,699,173",3.9,58,"226,778","976,931","89,520","155,410","250,534"
"2016,08,30,18,40,00",211,211338,4533,"5,499,766",4.1,61,"682,484","3,439,642","230,236","426,782","720,622"
"2016,07,25,13,30,00",110,115324,14244,"1,607,139",3.9,58,"213,478","921,450","85,601","146,878","239,732"
"2016,09,06,00,00,00",211,214098,7701,"5,677,677",4.1,61,"702,958","3,557,078","236,633","439,907","741,101"
"2016,08,15,12,30,00",106,201245,7640,"4,766,784",4.1,61,"594,572","2,969,938","203,820","372,941","625,513"
"2016,10,25,20,00,00",259,228008,554,"6,855,390",4.0,android_file_size not found,"837,382","4,261,812","279,645","517,498","959,053"
"2016,09,30,21,50,00",258,222451,2031,"6,505,504",4.1,76,"797,019","4,057,639","264,343","490,708","895,795"
"2016,08,18,06,20,00",106,203727,10459,"4,927,486",4.1,61,"613,222","3,069,547","210,109","385,902","648,706"
"2016,09,25,07,40,00",258,221244,606,"6,358,608",4.1,android_file_size not found,"777,713","3,968,831","258,930","479,951","873,183"
"2016,07,26,11,10,00",110,116887,15692,"1,651,887",3.9,58,"220,012","948,682","87,413","150,797","244,983"
"2016,09,30,06,00,00",258,222351,1909,"6,493,774",4.1,76,"795,867","4,050,571","263,895","489,883","893,558"
"2016,10,06,16,00,00",258,223387,3143,"6,581,997",4.1,76,"804,815","4,102,447","267,786","496,474","910,475"
"2016,08,16,23,00,00",106,202623,9188,"4,855,651",4.1,61,"604,929","3,025,109","207,362","380,062","638,189"
"2016,09,03,07,50,00",211,212615,6020,"5,594,619",4.1,61,"693,631","3,501,172","233,821","433,961","732,034"
"2016,10,29,08,50,00",259,229715,1423,"6,953,635",4.0,android_file_size not found,"851,349","4,322,964","282,956","524,895","971,471"
"2016,09,03,03,20,00",211,212615,6020,"5,590,064",4.1,61,"693,083","3,498,205","233,650","433,622","731,504"
"2016,09,09,06,30,00",211,215080,8836,"5,752,874",4.1,61,"712,120","3,607,500","239,235","445,251","748,768"
"2016,08,05,03,50,00",104,175606,33442,"2,835,796",4.0,60,"346,082","1,718,205","133,037","225,541","412,931"
"2016,08,17,08,40,00",106,202991,9609,"4,882,800",4.1,61,"608,117","3,041,594","208,421","382,444","642,224"
"2016,10,17,19,00,00",251,226011,1656,"6,755,213",4.0,77,"824,933","4,204,023","274,918","509,409","941,930"
"2016,10,24,00,40,00",251,227567,3571,"6,827,727",4.0,android_file_size not found,"833,560","4,245,940","278,215","515,166","954,846"
"2016,10,31,11,40,00",259,230474,2288,"6,995,261",4.0,android_file_size not found,"855,221","4,347,007","284,679","527,926","980,428"
"2016,10,05,22,20,00",258,223301,3025,"6,574,839",4.1,76,"804,069","4,098,311","267,489","495,888","909,082"
"2016,09,19,01,10,00",258,219551,1375,"6,213,695",4.1,77,"761,610","3,881,574","253,009","469,830","847,672"
"2016,08,17,18,10,00",106,203215,9862,"4,902,303",4.1,61,"610,387","3,053,841","209,175","384,000","644,900"
"2016,08,01,06,10,00",104,145942,ios_current_ratings not found,"1,973,793",3.9,60,"261,664","1,123,889","102,664","174,776","310,800"
"2016,08,24,10,40,00",106,208040,545,"5,240,763",4.1,61,"651,860","3,271,449","220,616","408,113","688,725"
"2016,10,13,21,20,00",251,224625,350,"6,691,313",4.0,77,"817,287","4,166,403","272,387","504,775","930,461"
"2016,09,30,09,40,00",258,222378,1945,"6,496,279",4.1,76,"796,094","4,051,996","264,000","490,079","894,110"
"2016,08,07,06,10,00",104,182699,42215,"3,357,696",4.0,60,"404,635","2,058,744","153,591","262,545","478,181"
"2016,07,21,08,00,00",110,107460,5668,"1,305,525",3.9,58,"169,779","740,436","72,566","119,998","202,746"
"2016,10,04,03,00,00",258,223106,2776,"6,555,109",4.1,76,"801,933","4,086,942","266,602","494,354","905,278"
"2016,10,11,21,20,00",258,224252,4191,"6,650,006",4.0,android_file_size not found,"811,849","4,142,612","270,730","501,783","923,032"
"2016,09,14,03,00,00",260,217086,554,"5,978,921",4.1,77,"738,252","3,752,069","244,381","456,691","787,528"
"2016,10,06,08,00,00",258,223360,3103,"6,577,516",4.1,76,"804,331","4,099,775","267,621","496,153","909,636"
"2016,10,19,18,40,00",251,226678,2468,"6,783,298",4.0,77,"828,895","4,219,752","276,252","511,727","946,672"
"2016,08,18,07,50,00",106,203727,10459,"4,927,486",4.1,61,"613,222","3,069,547","210,109","385,902","648,706"
"2016,10,21,15,00,00",251,227018,2911,"6,800,014",4.0,77,"830,757","4,229,247","277,001","513,092","949,917"
"2016,08,28,01,00,00",211,210334,3303,"5,408,700",4.1,61,"671,981","3,380,933","226,613","420,123","709,050"
"2016,10,19,00,20,00",251,226557,2313,"6,774,399",4.0,77,"827,858","4,214,813","275,796","511,026","944,906"
"2016,08,30,17,10,00",211,211338,4533,"5,499,766",4.1,61,"682,484","3,439,642","230,236","426,782","720,622"
"2016,08,03,20,40,00",104,169862,28168,"2,213,211",3.9,60,"282,244","1,273,142","113,359","188,432","356,034"
"2016,08,14,00,40,00",106,199908,6072,"4,641,478",4.1,61,"579,672","2,891,839","198,741","362,624","608,602"
"2016,09,25,02,40,00",258,221203,559,"6,354,910",4.1,android_file_size not found,"777,254","3,966,538","258,746","479,704","872,668"
"2016,08,16,23,10,00",106,202623,9188,"4,855,651",4.1,61,"604,929","3,025,109","207,362","380,062","638,189"
"2016,10,16,10,00,00",251,225534,940,"6,737,123",4.0,77,"823,063","4,193,895","274,037","508,063","938,065"
"2016,08,04,10,00,00",104,171364,29829,"2,434,424",3.9,60,"304,406","1,436,133","119,699","201,086","373,100"
"2016,10,07,21,50,00",258,223562,3354,"6,598,203",4.1,76,"806,455","4,112,018","268,468","497,695","913,567"
"2016,08,31,08,50,00",211,211588,4827,"5,516,942",4.1,61,"684,588","3,450,484","230,972","428,152","722,746"
"2016,09,23,14,50,00",258,220664,2669,"6,306,743",4.1,android_file_size not found,"771,543","3,934,934","257,200","476,576","866,490"
"2016,07,21,22,30,00",110,108886,7231,"1,344,609",3.9,58,"175,799","764,122","73,972","123,459","207,257"
"2016,07,26,16,40,00",110,117133,16197,"1,662,418",3.9,58,"221,510","954,960","87,858","151,789","246,301"
"2016,10,23,01,50,00",251,227388,3344,"6,816,139",4.0,android_file_size not found,"832,416","4,239,138","277,695","514,286","952,604"
"2016,08,06,17,50,00",104,181299,40694,"3,243,907",4.0,60,"391,624","1,986,399","148,766","253,953","463,165"
"2016,09,11,08,50,00",211,215748,9643,"5,827,084",4.1,android_file_size not found,"720,567","3,658,032","241,072","449,471","757,942"
"2016,08,16,17,00,00",106,202455,8998,"4,844,259",4.1,61,"603,661","3,017,743","206,959","379,169","636,727"
"2016,10,28,12,00,00",259,229333,985,"6,933,881",4.0,android_file_size not found,"849,415","4,311,314","282,094","523,519","967,539"
"2016,08,26,22,30,00",211,208290,843,"5,355,811",4.1,61,"666,165","3,346,167","224,733","416,268","702,478"
"2016,07,30,14,30,00",110,121549,20998,"1,828,788",3.9,android_file_size not found,"244,454","1,055,840","95,364","167,093","266,037"
"2016,08,19,19,50,00",106,204822,11724,"5,000,803",4.1,61,"621,497","3,115,656","212,876","391,488","659,286"
"2016,09,01,12,00,00",211,211903,5198,"5,542,201",4.1,61,"687,500","3,466,691","231,950","430,133","725,927"
"2016,08,14,19,10,00",106,200542,7084,"4,704,938",4.1,61,"587,078","2,931,810","201,332","367,622","617,096"
"2016,10,25,02,50,00",259,227762,206,"6,843,559",4.0,android_file_size not found,"835,707","4,254,781","279,095","516,461","957,515"
"2016,10,27,16,40,00",259,229026,627,"6,913,110",4.0,android_file_size not found,"847,233","4,299,665","281,168","521,881","963,163"
"2016,10,24,11,50,00",251,227594,3606,"6,831,738",4.0,android_file_size not found,"834,083","4,248,123","278,408","515,455","955,669"
"2016,09,04,18,30,00",211,213386,6888,"5,647,417",4.1,61,"699,443","3,536,612","235,569","437,817","737,976"
"2016,09,07,12,00,00",211,214544,8211,"5,710,479",4.1,61,"707,050","3,578,870","237,818","442,315","744,426"
"2016,09,19,00,10,00",258,219551,1375,"6,213,695",4.1,77,"761,610","3,881,574","253,009","469,830","847,672"
"2016,10,24,10,50,00",251,227594,3606,"6,831,610",4.0,android_file_size not found,"834,071","4,248,050","278,397","515,452","955,640"
"2016,07,27,22,40,00",110,118702,17905,"1,723,757",3.9,58,"230,260","991,412","90,734","157,743","253,608"
"2016,08,09,12,50,00",106,189860,3161,"3,853,633",4.0,61,"470,191","2,379,262","171,953","300,286","531,941"
"2016,10,16,02,20,00",251,225429,783,"6,731,130",4.0,77,"822,354","4,190,459","273,769","507,622","936,926"
"2016,07,26,13,00,00",110,116887,15925,"1,662,418",3.9,58,"221,510","954,960","87,858","151,789","246,301"
"2016,10,05,04,00,00",258,223210,2905,"6,565,464",4.1,76,"803,033","4,092,959","267,063","495,151","907,258"
"2016,09,25,02,50,00",258,221203,559,"6,354,910",4.1,android_file_size not found,"777,254","3,966,538","258,746","479,704","872,668"
"2016,10,30,05,30,00",259,230063,1817,"6,973,897",4.0,android_file_size not found,"853,229","4,334,851","283,761","526,309","975,747"
"2016,09,11,14,50,00",211,215748,9643,"5,846,336",4.1,android_file_size not found,"722,748","3,671,452","241,346","450,363","760,427"
"2016,08,05,19,10,00",104,177472,37462,"2,993,158",4.0,60,"363,583","1,820,082","139,726","236,862","432,905"
"2016,10,17,21,50,00",251,226096,1754,"6,759,589",4.0,77,"825,686","4,206,436","275,124","509,769","942,574"
"2016,08,19,13,10,00",106,204548,11407,"4,985,440",4.1,61,"619,785","3,105,886","212,304","390,351","657,114"
"2016,10,01,20,40,00",258,222699,2308,"6,522,528",4.1,76,"798,643","4,068,005","265,121","491,878","898,881"
"2016,10,07,10,20,00",258,223479,3256,"6,591,136",4.1,76,"805,757","4,107,833","268,163","497,189","912,194"
"2016,08,11,05,50,00",106,195879,1147,"4,306,650",4.1,61,"538,917","2,678,680","185,535","334,840","568,678"
"2016,08,16,17,30,00",106,202455,8998,"4,844,259",4.1,61,"603,661","3,017,743","206,959","379,169","636,727"
"2016,07,29,21,40,00",110,120971,20376,"1,804,362",3.9,58,"241,110","1,040,778","94,361","164,977","263,136"
"2016,08,27,22,00,00",211,210222,3175,"5,401,261",4.1,61,"671,209","3,376,014","226,320","419,590","708,128"
"2016,10,11,22,00,00",258,224252,4191,"6,650,006",4.0,android_file_size not found,"811,849","4,142,612","270,730","501,783","923,032"
"2016,10,19,09,00,00",251,226615,2383,"6,776,874",4.0,77,"828,161","4,216,096","275,923","511,266","945,428"
"2016,10,25,01,40,00",259,227762,206,"6,841,894",4.0,android_file_size not found,"835,430","4,253,955","278,969","516,250","957,290"
"2016,09,03,10,20,00",211,212704,6020,"5,600,163",4.1,61,"694,278","3,504,845","234,016","434,361","732,663"
"2016,10,26,12,10,00",259,228138,744,"6,869,646",4.0,android_file_size not found,"839,611","4,271,366","280,068","518,568","960,033"
"2016,10,18,02,40,00",251,226257,1939,"6,762,299",4.0,77,"826,118","4,207,813","275,284","510,028","943,056"
"2016,10,16,13,10,00",251,225534,940,"6,740,537",4.0,77,"823,425","4,195,930","274,207","508,317","938,658"
"2016,07,31,04,00,00",104,124716,2889,"1,865,618",4.0,60,"250,747","1,081,397","96,269","169,319","267,886"
"2016,08,11,15,00,00",106,196817,2316,"4,360,586",4.1,61,"546,125","2,712,590","187,650","339,687","574,534"
"2016,09,08,12,50,00",211,214896,8622,"5,734,929",4.1,61,"709,912","3,595,489","238,620","444,020","746,888"
"2016,09,19,19,30,00",258,219842,1717,"6,234,250",4.1,77,"763,895","3,893,325","253,921","471,329","851,780"
"2016,08,19,16,50,00",106,204659,11542,"4,993,533",4.1,61,"620,734","3,111,009","212,610","390,945","658,235"
"2016,10,03,11,00,00",258,223015,2667,"6,547,824",4.1,76,"801,145","4,083,063","266,225","493,735","903,656"
"2016,08,12,13,20,00",106,197995,3738,"4,476,266",4.1,61,"560,797","2,785,859","192,296","349,202","588,112"
"2016,10,04,05,00,00",258,223106,2776,"6,555,109",4.1,76,"801,933","4,086,942","266,602","494,354","905,278"
"2016,08,31,03,20,00",211,211488,4712,"5,509,347",4.1,61,"683,652","3,445,804","230,659","427,546","721,686"
"2016,10,24,08,30,00",251,227594,3606,"6,829,803",4.0,android_file_size not found,"833,823","4,247,029","278,321","515,334","955,296"
"2016,08,01,21,30,00",104,157737,14754,"2,012,174",3.9,60,"265,018","1,137,708","105,604","177,416","326,428"
"2016,07,22,20,40,00",110,111140,9686,"1,424,989",3.9,58,"186,871","809,289","78,175","131,403","219,251"
"2016,08,08,04,00,00",104,185978,45763,"3,537,992",4.0,60,"426,415","2,171,153","161,243","276,816","502,365"
"2016,10,03,18,30,00",258,223050,2710,"6,552,557",4.1,76,"801,624","4,085,830","266,442","494,088","904,573"
"2016,10,25,14,10,00",259,227825,306,"6,849,156",4.0,android_file_size not found,"836,533","4,257,978","279,379","517,003","958,263"
"2016,09,20,06,50,00",258,219968,1865,"6,240,865",4.1,77,"764,644","3,897,067","254,236","471,842","853,076"
"2016,07,30,19,40,00",104,122089,ios_current_ratings not found,"1,839,321",3.9,60,"246,069","1,063,056","95,647","167,821","266,728"
"2016,08,14,23,50,00",106,200998,7362,"4,718,500",4.1,61,"588,623","2,940,476","201,843","368,732","618,826"
"2016,08,12,04,30,00",106,197756,3457,"4,437,688",4.1,61,"556,123","2,761,663","190,664","345,917","583,321"
"2016,08,24,16,50,00",106,208290,843,"5,252,558",4.1,61,"653,494","3,279,184","220,997","408,939","689,944"
"2016,09,01,10,10,00",211,211855,5147,"5,542,201",4.1,61,"687,500","3,466,691","231,950","430,133","725,927"
"2016,08,16,07,10,00",106,202113,8606,"4,810,531",4.1,61,"599,582","2,997,202","205,649","376,410","631,688"
"2016,09,04,22,30,00",211,213498,7019,"5,652,212",4.1,61,"699,966","3,539,895","235,753","438,115","738,483"
"2016,10,06,22,20,00",258,223410,3172,"6,586,212",4.1,76,"805,190","4,105,009","267,950","496,805","911,258"
"2016,08,21,18,40,00",106,206045,13097,"5,097,352",4.1,61,"632,609","3,178,025","216,413","398,440","671,865"
"2016,10,04,12,30,00",258,223127,2805,"6,558,011",4.1,76,"802,261","4,088,606","266,731","494,583","905,830"
"2016,08,14,07,30,00",106,200132,6330,"4,654,945",4.1,61,"581,250","2,900,071","199,294","363,817","610,513"
"2016,08,06,08,00,00",104,180092,39414,"3,143,473",4.0,60,"380,390","1,922,270","144,668","246,674","449,471"
"2016,10,20,01,40,00",251,226790,2612,"6,784,994",4.0,77,"829,072","4,220,742","276,313","511,904","946,963"
"2016,10,12,18,20,00",251,224338,ios_current_ratings not found,"6,662,903",4.0,77,"813,476","4,150,207","271,336","502,732","925,152"
"2016,09,02,05,40,00",211,212130,5458,"5,563,624",4.1,61,"689,934","3,480,528","232,734","431,770","728,658"
"2016,10,10,13,10,00",258,224077,3963,"6,633,742",4.1,76,"809,975","4,133,277","269,923","500,366","920,201"
"2016,09,23,15,40,00",258,220677,2690,"6,310,753",4.1,android_file_size not found,"771,959","3,937,481","257,338","476,787","867,188"
"2016,08,12,14,10,00",106,197995,3738,"4,476,266",4.1,61,"560,797","2,785,859","192,296","349,202","588,112"
"2016,10,19,01,20,00",251,226557,2313,"6,774,399",4.0,77,"827,858","4,214,813","275,796","511,026","944,906"
